Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -253.476     -272.254       18.778   648.5
0.0010         -253.476     -272.251       18.775   648.4
0.0020         -253.478     -272.245       18.767   648.2
0.0030         -253.481     -272.235       18.754   647.7
0.0040         -253.486     -272.221       18.735   647.1
0.0050         -253.492     -272.203       18.711   646.2
0.0060         -253.499     -272.181       18.682   645.2
0.0070         -253.507     -272.155       18.648   644.1
0.0080         -253.516     -272.126       18.609   642.7
0.0090         -253.527     -272.092       18.565   641.2
0.0100         -253.539     -272.056       18.517   639.5
0.0110         -253.551     -272.015       18.464   637.7
0.0120         -253.565     -271.971       18.406   635.7
0.0130         -253.579     -271.924       18.345   633.6
0.0140         -253.595     -271.874       18.279   631.3
0.0150         -253.611     -271.820       18.209   628.9
0.0160         -253.628     -271.763       18.136   626.4
0.0170         -253.645     -271.704       18.058   623.7
0.0180         -253.664     -271.642       17.978   620.9
0.0190         -253.682     -271.577       17.895   618.0
0.0200         -253.701     -271.509       17.808   615.0
0.0210         -253.721     -271.439       17.719   612.0
0.0220         -253.740     -271.367       17.627   608.8
0.0230         -253.760     -271.293       17.532   605.5
0.0240         -253.780     -271.216       17.436   602.2
0.0250         -253.800     -271.137       17.337   598.8
0.0260         -253.820     -271.057       17.237   595.3
0.0270         -253.840     -270.975       17.135   591.8
0.0280         -253.859     -270.891       17.032   588.2
0.0290         -253.878     -270.805       16.927   584.6
0.0300         -253.897     -270.718       16.821   581.0
0.0310         -253.916     -270.630       16.714   577.3
0.0320         -253.933     -270.540       16.607   573.6
0.0330         -253.950     -270.449       16.499   569.8
0.0340         -253.967     -270.357       16.390   566.1
0.0350         -253.983     -270.264       16.282   562.3
0.0360         -253.998     -270.170       16.173   558.6
0.0370         -254.012     -270.075       16.064   554.8
0.0380         -254.024     -269.980       15.955   551.0
0.0390         -254.036     -269.883       15.847   547.3
0.0400         -254.047     -269.786       15.739   543.6
0.0410         -254.057     -269.688       15.631   539.9
0.0420         -254.065     -269.590       15.525   536.2
0.0430         -254.072     -269.491       15.419   532.5
0.0440         -254.078     -269.392       15.314   528.9
0.0450         -254.082     -269.293       15.210   525.3
0.0460         -254.085     -269.193       15.107   521.8
0.0470         -254.087     -269.093       15.006   518.3
0.0480         -254.087     -268.992       14.906   514.8
0.0490         -254.085     -268.892       14.807   511.4
0.0500         -254.081     -268.791       14.710   508.0
0.0510         -254.076     -268.691       14.615   504.7
0.0520         -254.069     -268.590       14.521   501.5
0.0530         -254.061     -268.490       14.429   498.3
0.0540         -254.050     -268.390       14.339   495.2
0.0550         -254.038     -268.289       14.251   492.2
0.0560         -254.024     -268.189       14.166   489.2
0.0570         -254.008     -268.090       14.082   486.4
0.0580         -253.990     -267.990       14.001   483.5
0.0590         -253.970     -267.891       13.922   480.8
0.0600         -253.948     -267.793       13.845   478.2
0.0610         -253.923     -267.695       13.771   475.6
0.0620         -253.897     -267.597       13.700   473.1
0.0630         -253.869     -267.500       13.631   470.8
0.0640         -253.839     -267.403       13.565   468.5
0.0650         -253.806     -267.307       13.501   466.3
0.0660         -253.771     -267.212       13.441   464.2
0.0670         -253.735     -267.118       13.383   462.2
0.0680         -253.695     -267.024       13.328   460.3
0.0690         -253.654     -266.931       13.277   458.5
0.0700         -253.611     -266.839       13.228   456.9
0.0710         -253.565     -266.748       13.183   455.3
0.0720         -253.517     -266.657       13.141   453.8
0.0730         -253.466     -266.568       13.102   452.5
0.0740         -253.413     -266.480       13.067   451.3
0.0750         -253.358     -266.393       13.035   450.2
0.0760         -253.300     -266.307       13.006   449.2
0.0770         -253.240     -266.222       12.981   448.3
0.0780         -253.178     -266.138       12.960   447.6
0.0790         -253.113     -266.056       12.943   447.0
0.0800         -253.046     -265.975       12.929   446.5
0.0810         -252.976     -265.896       12.920   446.2
0.0820         -252.904     -265.817       12.914   446.0
0.0830         -252.829     -265.741       12.912   445.9
0.0840         -252.751     -265.666       12.914   446.0
0.0850         -252.671     -265.592       12.921   446.2
0.0860         -252.589     -265.520       12.931   446.6
0.0870         -252.503     -265.450       12.946   447.1
0.0880         -252.416     -265.381       12.966   447.8
0.0890         -252.325     -265.314       12.989   448.6
0.0900         -252.232     -265.249       13.018   449.6
0.0910         -252.135     -265.186       13.050   450.7
0.0920         -252.037     -265.124       13.088   452.0
0.0930         -251.935     -265.065       13.130   453.5
0.0940         -251.831     -265.007       13.177   455.1
0.0950         -251.723     -264.952       13.229   456.9
0.0960         -251.613     -264.899       13.285   458.8
0.0970         -251.500     -264.847       13.347   461.0
0.0980         -251.384     -264.798       13.414   463.3
0.0990         -251.265     -264.751       13.486   465.8
0.1000         -251.143     -264.706       13.563   468.4
0.1010         -251.018     -264.663       13.645   471.3
0.1020         -250.890     -264.623       13.733   474.3
0.1030         -250.759     -264.585       13.826   477.5
0.1040         -250.625     -264.549       13.924   480.9
0.1050         -250.488     -264.516       14.028   484.5
0.1060         -250.347     -264.485       14.138   488.3
0.1070         -250.204     -264.457       14.253   492.2
0.1080         -250.057     -264.431       14.373   496.4
0.1090         -249.907     -264.407       14.500   500.8
0.1100         -249.755     -264.386       14.632   505.3
0.1110         -249.598     -264.368       14.770   510.1
0.1120         -249.439     -264.352       14.913   515.1
0.1130         -249.277     -264.339       15.063   520.2
0.1140         -249.111     -264.329       15.218   525.6
0.1150         -248.942     -264.321       15.379   531.1
0.1160         -248.770     -264.316       15.546   536.9
0.1170         -248.595     -264.314       15.718   542.9
0.1180         -248.417     -264.314       15.897   549.0
0.1190         -248.236     -264.317       16.081   555.4
0.1200         -248.052     -264.323       16.272   562.0
0.1210         -247.865     -264.332       16.467   568.7
0.1220         -247.675     -264.344       16.669   575.7
0.1230         -247.482     -264.358       16.876   582.8
0.1240         -247.287     -264.375       17.089   590.2
0.1250         -247.089     -264.396       17.307   597.7
0.1260         -246.888     -264.418       17.530   605.4
0.1270         -246.685     -264.444       17.759   613.3
0.1280         -246.480     -264.473       17.993   621.4
0.1290         -246.273     -264.505       18.231   629.7
0.1300         -246.064     -264.539       18.475   638.1
0.1310         -245.853     -264.576       18.723   646.6
0.1320         -245.641     -264.616       18.976   655.4
0.1330         -245.427     -264.659       19.232   664.2
0.1340         -245.212     -264.705       19.493   673.2
0.1350         -244.996     -264.754       19.758   682.4
0.1360         -244.780     -264.805       20.026   691.6
0.1370         -244.563     -264.859       20.297   701.0
0.1380         -244.346     -264.916       20.570   710.4
0.1390         -244.129     -264.976       20.847   720.0
0.1400         -243.913     -265.039       21.126   729.6
0.1410         -243.698     -265.104       21.406   739.3
0.1420         -243.484     -265.172       21.688   749.0
0.1430         -243.272     -265.243       21.971   758.8
0.1440         -243.062     -265.316       22.254   768.6
0.1450         -242.854     -265.392       22.538   778.4
0.1460         -242.649     -265.470       22.821   788.2
0.1470         -242.447     -265.551       23.104   797.9
0.1480         -242.250     -265.635       23.385   807.7
0.1490         -242.056     -265.721       23.665   817.3
0.1500         -241.867     -265.810       23.943   826.9
0.1510         -241.683     -265.901       24.217   836.4
0.1520         -241.505     -265.994       24.489   845.8
0.1530         -241.334     -266.090       24.757   855.0
0.1540         -241.169     -266.189       25.020   864.1
0.1550         -241.011     -266.289       25.278   873.0
0.1560         -240.861     -266.392       25.531   881.8
0.1570         -240.719     -266.497       25.778   890.3
0.1580         -240.586     -266.604       26.018   898.6
0.1590         -240.463     -266.714       26.251   906.6
0.1600         -240.349     -266.825       26.476   914.4
0.1610         -240.246     -266.938       26.693   921.9
0.1620         -240.153     -267.053       26.901   929.1
0.1630         -240.071     -267.170       27.099   935.9
0.1640         -240.002     -267.289       27.287   942.4
0.1650         -239.944     -267.409       27.465   948.6
0.1660         -239.899     -267.531       27.632   954.3
0.1670         -239.867     -267.654       27.787   959.7
0.1680         -239.849     -267.779       27.930   964.6
0.1690         -239.844     -267.905       28.061   969.1
0.1700         -239.853     -268.032       28.179   973.2
0.1710         -239.876     -268.160       28.284   976.9
0.1720         -239.913     -268.289       28.376   980.0
0.1730         -239.966     -268.419       28.454   982.7
0.1740         -240.033     -268.551       28.518   984.9
0.1750         -240.115     -268.683       28.568   986.7
0.1760         -240.212     -268.816       28.604   987.9
0.1770         -240.324     -268.949       28.626   988.6
0.1780         -240.451     -269.083       28.633   988.9
0.1790         -240.593     -269.218       28.626   988.7
0.1800         -240.749     -269.354       28.604   987.9
0.1810         -240.921     -269.490       28.569   986.7
0.1820         -241.107     -269.626       28.519   985.0
0.1830         -241.308     -269.763       28.455   982.8
0.1840         -241.523     -269.900       28.378   980.1
0.1850         -241.751     -270.038       28.287   976.9
0.1860         -241.993     -270.175       28.182   973.3
0.1870         -242.248     -270.313       28.065   969.3
0.1880         -242.516     -270.451       27.935   964.8
0.1890         -242.797     -270.589       27.792   959.9
0.1900         -243.089     -270.727       27.638   954.5
0.1910         -243.393     -270.865       27.472   948.8
0.1920         -243.707     -271.003       27.296   942.7
0.1930         -244.032     -271.141       27.108   936.2
0.1940         -244.367     -271.278       26.911   929.4
0.1950         -244.712     -271.416       26.704   922.3
0.1960         -245.065     -271.553       26.488   914.8
0.1970         -245.426     -271.689       26.263   907.1
0.1980         -245.795     -271.826       26.031   899.0
0.1990         -246.171     -271.962       25.791   890.7
0.2000         -246.554     -272.097       25.544   882.2
0.2010         -246.942     -272.233       25.290   873.5
0.2020         -247.336     -272.367       25.031   864.5
0.2030         -247.734     -272.501       24.767   855.4
0.2040         -248.137     -272.635       24.498   846.1
0.2050         -248.543     -272.768       24.224   836.6
0.2060         -248.953     -272.900       23.947   827.1
0.2070         -249.365     -273.032       23.667   817.4
0.2080         -249.779     -273.163       23.384   807.6
0.2090         -250.194     -273.293       23.099   797.8
0.2100         -250.610     -273.423       22.813   787.9
0.2110         -251.027     -273.552       22.525   778.0
0.2120         -251.444     -273.681       22.237   768.0
0.2130         -251.860     -273.809       21.948   758.0
0.2140         -252.276     -273.936       21.660   748.1
0.2150         -252.690     -274.063       21.373   738.2
0.2160         -253.103     -274.189       21.086   728.3
0.2170         -253.514     -274.315       20.801   718.4
0.2180         -253.922     -274.440       20.518   708.6
0.2190         -254.328     -274.564       20.237   698.9
0.2200         -254.730     -274.688       19.958   689.3
0.2210         -255.130     -274.812       19.682   679.8
0.2220         -255.526     -274.935       19.409   670.3
0.2230         -255.918     -275.057       19.139   661.0
0.2240         -256.307     -275.179       18.873   651.8
0.2250         -256.691     -275.301       18.610   642.7
0.2260         -257.071     -275.422       18.352   633.8
0.2270         -257.446     -275.543       18.097   625.0
0.2280         -257.816     -275.663       17.847   616.4
0.2290         -258.182     -275.783       17.601   607.9
0.2300         -258.543     -275.902       17.359   599.5
0.2310         -258.899     -276.022       17.123   591.4
0.2320         -259.250     -276.140       16.891   583.4
0.2330         -259.595     -276.259       16.664   575.5
0.2340         -259.935     -276.377       16.441   567.8
0.2350         -260.270     -276.495       16.224   560.3
0.2360         -260.600     -276.612       16.012   553.0
0.2370         -260.924     -276.729       15.805   545.8
0.2380         -261.243     -276.846       15.603   538.9
0.2390         -261.557     -276.962       15.406   532.1
0.2400         -261.865     -277.078       15.214   525.4
0.2410         -262.167     -277.194       15.027   519.0
0.2420         -262.465     -277.310       14.846   512.7
0.2430         -262.756     -277.426       14.669   506.6
0.2440         -263.043     -277.541       14.498   500.7
0.2450         -263.324     -277.656       14.332   495.0
0.2460         -263.600     -277.771       14.170   489.4
0.2470         -263.871     -277.885       14.014   484.0
0.2480         -264.136     -278.000       13.863   478.8
0.2490         -264.397     -278.114       13.717   473.8
0.2500         -264.652     -278.228       13.576   468.9
0.2510         -264.902     -278.342       13.440   464.2
0.2520         -265.147     -278.456       13.309   459.6
0.2530         -265.388     -278.570       13.182   455.3
0.2540         -265.623     -278.683       13.060   451.1
0.2550         -265.854     -278.797       12.943   447.0
0.2560         -266.080     -278.910       12.831   443.1
0.2570         -266.301     -279.024       12.723   439.4
0.2580         -266.517     -279.137       12.620   435.9
0.2590         -266.730     -279.251       12.521   432.4
0.2600         -266.937     -279.364       12.427   429.2
0.2610         -267.140     -279.477       12.337   426.1
0.2620         -267.339     -279.591       12.252   423.1
0.2630         -267.533     -279.704       12.170   420.3
0.2640         -267.724     -279.817       12.094   417.7
0.2650         -267.910     -279.931       12.021   415.2
0.2660         -268.092     -280.044       11.953   412.8
0.2670         -268.270     -280.158       11.888   410.6
0.2680         -268.444     -280.272       11.828   408.5
0.2690         -268.614     -280.385       11.772   406.6
0.2700         -268.780     -280.499       11.720   404.8
0.2710         -268.942     -280.613       11.671   403.1
0.2720         -269.100     -280.727       11.627   401.6
0.2730         -269.255     -280.842       11.587   400.2
0.2740         -269.407     -280.956       11.550   398.9
0.2750         -269.554     -281.071       11.517   397.8
0.2760         -269.698     -281.186       11.488   396.8
0.2770         -269.839     -281.301       11.462   395.9
0.2780         -269.976     -281.417       11.441   395.1
0.2790         -270.109     -281.532       11.423   394.5
0.2800         -270.240     -281.648       11.408   394.0
0.2810         -270.367     -281.764       11.397   393.6
0.2820         -270.491     -281.880       11.390   393.4
0.2830         -270.611     -281.997       11.386   393.2
0.2840         -270.728     -282.114       11.386   393.2
0.2850         -270.842     -282.231       11.389   393.3
0.2860         -270.953     -282.349       11.396   393.6
0.2870         -271.061     -282.467       11.406   393.9
0.2880         -271.166     -282.585       11.419   394.4
0.2890         -271.268     -282.704       11.436   395.0
0.2900         -271.367     -282.823       11.456   395.7
0.2910         -271.463     -282.942       11.479   396.5
0.2920         -271.556     -283.062       11.506   397.4
0.2930         -271.646     -283.182       11.536   398.4
0.2940         -271.733     -283.303       11.570   399.6
0.2950         -271.817     -283.424       11.606   400.9
0.2960         -271.899     -283.545       11.646   402.2
0.2970         -271.978     -283.667       11.690   403.7
0.2980         -272.054     -283.790       11.736   405.3
0.2990         -272.127     -283.913       11.786   407.0
0.3000         -272.197     -284.036       11.839   408.9
0.3010         -272.265     -284.160       11.895   410.8
0.3020         -272.330     -284.284       11.954   412.9
0.3030         -272.393     -284.409       12.016   415.0
0.3040         -272.453     -284.535       12.082   417.3
0.3050         -272.510     -284.661       12.151   419.7
0.3060         -272.565     -284.787       12.223   422.1
0.3070         -272.617     -284.914       12.298   424.7
0.3080         -272.666     -285.042       12.376   427.4
0.3090         -272.713     -285.170       12.457   430.2
0.3100         -272.758     -285.299       12.541   433.1
0.3110         -272.800     -285.429       12.629   436.2
0.3120         -272.840     -285.559       12.719   439.3
0.3130         -272.877     -285.689       12.812   442.5
0.3140         -272.912     -285.821       12.909   445.8
0.3150         -272.944     -285.952       13.008   449.3
0.3160         -272.974     -286.085       13.111   452.8
0.3170         -273.002     -286.218       13.216   456.4
0.3180         -273.028     -286.352       13.324   460.2
0.3190         -273.051     -286.487       13.436   464.0
0.3200         -273.072     -286.622       13.550   468.0
0.3210         -273.091     -286.758       13.667   472.0
0.3220         -273.108     -286.894       13.786   476.1
0.3230         -273.123     -287.031       13.909   480.4
0.3240         -273.135     -287.169       14.034   484.7
0.3250         -273.146     -287.308       14.162   489.1
0.3260         -273.155     -287.448       14.293   493.6
0.3270         -273.162     -287.588       14.426   498.2
0.3280         -273.167     -287.729       14.562   502.9
0.3290         -273.170     -287.870       14.700   507.7
0.3300         -273.171     -288.013       14.841   512.6
0.3310         -273.171     -288.156       14.985   517.5
0.3320         -273.170     -288.300       15.130   522.6
0.3330         -273.166     -288.445       15.278   527.7
0.3340         -273.162     -288.590       15.428   532.8
0.3350         -273.156     -288.736       15.580   538.1
0.3360         -273.149     -288.883       15.734   543.4
0.3370         -273.140     -289.031       15.891   548.8
0.3380         -273.131     -289.179       16.048   554.3
0.3390         -273.120     -289.328       16.208   559.8
0.3400         -273.109     -289.478       16.369   565.4
0.3410         -273.097     -289.629       16.532   571.0
0.3420         -273.084     -289.780       16.696   576.6
0.3430         -273.071     -289.932       16.862   582.4
0.3440         -273.057     -290.085       17.028   588.1
0.3450         -273.043     -290.238       17.196   593.9
0.3460         -273.028     -290.392       17.364   599.7
0.3470         -273.014     -290.547       17.533   605.5
0.3480         -273.000     -290.703       17.703   611.4
0.3490         -272.986     -290.858       17.872   617.3
0.3500         -272.972     -291.015       18.043   623.1
0.3510         -272.960     -291.172       18.213   629.0
0.3520         -272.947     -291.330       18.383   634.9
0.3530         -272.936     -291.488       18.552   640.7
0.3540         -272.926     -291.647       18.721   646.6
0.3550         -272.916     -291.806       18.889   652.4
0.3560         -272.909     -291.965       19.056   658.2
0.3570         -272.902     -292.125       19.223   663.9
0.3580         -272.898     -292.285       19.387   669.6
0.3590         -272.895     -292.446       19.551   675.2
0.3600         -272.895     -292.607       19.712   680.8
0.3610         -272.897     -292.769       19.872   686.3
0.3620         -272.901     -292.930       20.030   691.8
0.3630         -272.908     -293.093       20.185   697.1
0.3640         -272.917     -293.255       20.338   702.4
0.3650         -272.930     -293.418       20.488   707.6
0.3660         -272.946     -293.581       20.635   712.7
0.3670         -272.965     -293.744       20.779   717.7
0.3680         -272.987     -293.908       20.920   722.5
0.3690         -273.014     -294.071       21.058   727.3
0.3700         -273.044     -294.235       21.192   731.9
0.3710         -273.078     -294.400       21.322   736.4
0.3720         -273.116     -294.564       21.448   740.7
0.3730         -273.159     -294.729       21.569   744.9
0.3740         -273.207     -294.893       21.687   749.0
0.3750         -273.259     -295.058       21.800   752.9
0.3760         -273.315     -295.223       21.908   756.6
0.3770         -273.377     -295.388       22.011   760.2
0.3780         -273.444     -295.553       22.109   763.6
0.3790         -273.516     -295.718       22.202   766.8
0.3800         -273.594     -295.883       22.289   769.8
0.3810         -273.677     -296.048       22.371   772.6
0.3820         -273.765     -296.213       22.447   775.3
0.3830         -273.860     -296.377       22.517   777.7
0.3840         -273.960     -296.541       22.582   779.9
0.3850         -274.065     -296.705       22.640   781.9
0.3860         -274.177     -296.869       22.692   783.7
0.3870         -274.294     -297.033       22.738   785.3
0.3880         -274.418     -297.196       22.778   786.7
0.3890         -274.547     -297.359       22.812   787.9
0.3900         -274.683     -297.521       22.839   788.8
0.3910         -274.824     -297.684       22.860   789.5
0.3920         -274.971     -297.846       22.874   790.0
0.3930         -275.125     -298.007       22.882   790.3
0.3940         -275.284     -298.168       22.884   790.4
0.3950         -275.449     -298.329       22.880   790.2
0.3960         -275.620     -298.490       22.869   789.8
0.3970         -275.797     -298.649       22.853   789.3
0.3980         -275.979     -298.809       22.830   788.5
0.3990         -276.167     -298.968       22.801   787.5
0.4000         -276.361     -299.127       22.766   786.3
0.4010         -276.560     -299.285       22.725   784.8
0.4020         -276.764     -299.442       22.678   783.2
0.4030         -276.974     -299.599       22.625   781.4
0.4040         -277.188     -299.755       22.567   779.4
0.4050         -277.408     -299.911       22.503   777.2
0.4060         -277.632     -300.066       22.434   774.8
0.4070         -277.861     -300.220       22.359   772.2
0.4080         -278.094     -300.374       22.280   769.5
0.4090         -278.332     -300.526       22.195   766.5
0.4100         -278.573     -300.678       22.105   763.4
0.4110         -278.819     -300.829       22.010   760.2
0.4120         -279.068     -300.979       21.911   756.7
0.4130         -279.321     -301.128       21.807   753.2
0.4140         -279.577     -301.276       21.699   749.4
0.4150         -279.836     -301.424       21.587   745.6
0.4160         -280.098     -301.570       21.472   741.6
0.4170         -280.363     -301.715       21.352   737.4
0.4180         -280.631     -301.860       21.229   733.2
0.4190         -280.901     -302.003       21.102   728.8
0.4200         -281.172     -302.145       20.973   724.3
0.4210         -281.446     -302.287       20.841   719.8
0.4220         -281.722     -302.427       20.706   715.1
0.4230         -281.999     -302.567       20.568   710.4
0.4240         -282.277     -302.705       20.428   705.5
0.4250         -282.556     -302.843       20.287   700.6
0.4260         -282.837     -302.980       20.143   695.7
0.4270         -283.117     -303.115       19.998   690.7
0.4280         -283.399     -303.250       19.851   685.6
0.4290         -283.681     -303.384       19.703   680.5
0.4300         -283.963     -303.517       19.555   675.4
0.4310         -284.245     -303.650       19.405   670.2
0.4320         -284.526     -303.781       19.255   665.0
0.4330         -284.808     -303.912       19.104   659.8
0.4340         -285.089     -304.042       18.953   654.6
0.4350         -285.369     -304.171       18.802   649.4
0.4360         -285.648     -304.299       18.651   644.1
0.4370         -285.926     -304.426       18.500   638.9
0.4380         -286.204     -304.553       18.349   633.7
0.4390         -286.480     -304.679       18.199   628.5
0.4400         -286.754     -304.804       18.050   623.4
0.4410         -287.027     -304.928       17.901   618.2
0.4420         -287.299     -305.052       17.753   613.1
0.4430         -287.569     -305.174       17.606   608.0
0.4440         -287.837     -305.296       17.459   603.0
0.4450         -288.103     -305.417       17.315   598.0
0.4460         -288.367     -305.538       17.171   593.0
0.4470         -288.629     -305.658       17.029   588.1
0.4480         -288.888     -305.776       16.888   583.3
0.4490         -289.146     -305.895       16.749   578.5
0.4500         -289.401     -306.012       16.611   573.7
0.4510         -289.654     -306.129       16.475   569.0
0.4520         -289.904     -306.245       16.341   564.4
0.4530         -290.151     -306.361       16.209   559.8
0.4540         -290.397     -306.476       16.079   555.3
0.4550         -290.639     -306.590       15.951   550.9
0.4560         -290.879     -306.704       15.825   546.5
0.4570         -291.116     -306.817       15.701   542.3
0.4580         -291.350     -306.929       15.579   538.1
0.4590         -291.581     -307.041       15.460   533.9
0.4600         -291.810     -307.153       15.343   529.9
0.4610         -292.036     -307.264       15.228   525.9
0.4620         -292.259     -307.374       15.115   522.0
0.4630         -292.479     -307.484       15.005   518.2
0.4640         -292.696     -307.594       14.898   514.5
0.4650         -292.910     -307.703       14.793   510.9
0.4660         -293.121     -307.812       14.691   507.4
0.4670         -293.330     -307.921       14.591   503.9
0.4680         -293.535     -308.029       14.494   500.6
0.4690         -293.737     -308.137       14.400   497.3
0.4700         -293.937     -308.245       14.308   494.2
0.4710         -294.133     -308.352       14.219   491.1
0.4720         -294.327     -308.460       14.133   488.1
0.4730         -294.518     -308.567       14.049   485.2
0.4740         -294.705     -308.674       13.968   482.4
0.4750         -294.890     -308.781       13.890   479.7
0.4760         -295.072     -308.887       13.815   477.1
0.4770         -295.251     -308.994       13.743   474.6
0.4780         -295.427     -309.101       13.673   472.2
0.4790         -295.601     -309.207       13.606   469.9
0.4800         -295.771     -309.314       13.542   467.7
0.4810         -295.939     -309.420       13.481   465.6
0.4820         -296.104     -309.527       13.423   463.6
0.4830         -296.266     -309.633       13.367   461.7
0.4840         -296.425     -309.740       13.315   459.9
0.4850         -296.582     -309.847       13.265   458.1
0.4860         -296.736     -309.953       13.218   456.5
0.4870         -296.887     -310.061       13.174   455.0
0.4880         -297.035     -310.168       13.132   453.6
0.4890         -297.181     -310.275       13.094   452.2
0.4900         -297.325     -310.383       13.058   451.0
0.4910         -297.465     -310.491       13.026   449.9
0.4920         -297.603     -310.599       12.996   448.8
0.4930         -297.739     -310.708       12.969   447.9
0.4940         -297.872     -310.817       12.945   447.1
0.4950         -298.003     -310.926       12.924   446.3
0.4960         -298.131     -311.036       12.905   445.7
0.4970         -298.256     -311.146       12.890   445.2
0.4980         -298.380     -311.257       12.877   444.7
0.4990         -298.500     -311.368       12.867   444.4
0.5000         -298.619     -311.479       12.861   444.2
0.5010         -298.735     -311.591       12.856   444.0
0.5020         -298.849     -311.704       12.855   444.0
0.5030         -298.960     -311.817       12.857   444.0
0.5040         -299.069     -311.931       12.861   444.2
0.5050         -299.176     -312.045       12.868   444.4
0.5060         -299.281     -312.159       12.878   444.8
0.5070         -299.384     -312.274       12.891   445.2
0.5080         -299.484     -312.390       12.906   445.8
0.5090         -299.582     -312.507       12.924   446.4
0.5100         -299.678     -312.623       12.945   447.1
0.5110         -299.772     -312.741       12.969   447.9
0.5120         -299.864     -312.859       12.995   448.8
0.5130         -299.954     -312.977       13.023   449.8
0.5140         -300.041     -313.096       13.055   450.9
0.5150         -300.127     -313.215       13.088   452.0
0.5160         -300.211     -313.335       13.125   453.3
0.5170         -300.292     -313.456       13.163   454.6
0.5180         -300.372     -313.577       13.204   456.0
0.5190         -300.450     -313.698       13.248   457.5
0.5200         -300.526     -313.819       13.294   459.1
0.5210         -300.600     -313.942       13.342   460.8
0.5220         -300.672     -314.064       13.392   462.5
0.5230         -300.742     -314.187       13.445   464.4
0.5240         -300.810     -314.310       13.500   466.3
0.5250         -300.877     -314.434       13.557   468.2
0.5260         -300.941     -314.558       13.616   470.3
0.5270         -301.004     -314.682       13.678   472.4
0.5280         -301.066     -314.807       13.741   474.6
0.5290         -301.125     -314.932       13.807   476.9
0.5300         -301.183     -315.058       13.875   479.2
0.5310         -301.239     -315.183       13.945   481.6
0.5320         -301.293     -315.310       14.016   484.1
0.5330         -301.346     -315.436       14.090   486.6
0.5340         -301.398     -315.564       14.166   489.3
0.5350         -301.447     -315.691       14.244   491.9
0.5360         -301.496     -315.819       14.324   494.7
0.5370         -301.542     -315.948       14.405   497.5
0.5380         -301.588     -316.076       14.489   500.4
0.5390         -301.632     -316.206       14.574   503.4
0.5400         -301.674     -316.336       14.662   506.4
0.5410         -301.715     -316.466       14.751   509.5
0.5420         -301.756     -316.597       14.842   512.6
0.5430         -301.794     -316.729       14.935   515.8
0.5440         -301.832     -316.861       15.029   519.1
0.5450         -301.868     -316.993       15.125   522.4
0.5460         -301.904     -317.127       15.223   525.8
0.5470         -301.938     -317.260       15.323   529.2
0.5480         -301.971     -317.395       15.424   532.7
0.5490         -302.003     -317.530       15.526   536.2
0.5500         -302.035     -317.665       15.630   539.8
0.5510         -302.066     -317.801       15.736   543.5
0.5520         -302.096     -317.938       15.843   547.2
0.5530         -302.125     -318.075       15.951   550.9
0.5540         -302.153     -318.213       16.060   554.7
0.5550         -302.181     -318.351       16.170   558.5
0.5560         -302.209     -318.490       16.282   562.3
0.5570         -302.235     -318.629       16.394   566.2
0.5580         -302.262     -318.769       16.507   570.1
0.5590         -302.288     -318.909       16.621   574.0
0.5600         -302.314     -319.050       16.735   578.0
0.5610         -302.340     -319.191       16.850   582.0
0.5620         -302.366     -319.332       16.966   586.0
0.5630         -302.392     -319.473       17.081   589.9
0.5640         -302.418     -319.615       17.197   593.9
0.5650         -302.444     -319.757       17.313   597.9
0.5660         -302.470     -319.899       17.429   601.9
0.5670         -302.497     -320.041       17.544   605.9
0.5680         -302.524     -320.183       17.660   609.9
0.5690         -302.551     -320.325       17.774   613.9
0.5700         -302.579     -320.468       17.889   617.8
0.5710         -302.608     -320.610       18.002   621.7
0.5720         -302.638     -320.753       18.115   625.6
0.5730         -302.668     -320.895       18.227   629.5
0.5740         -302.700     -321.038       18.338   633.3
0.5750         -302.733     -321.180       18.447   637.1
0.5760         -302.767     -321.323       18.556   640.9
0.5770         -302.802     -321.466       18.664   644.6
0.5780         -302.839     -321.609       18.770   648.3
0.5790         -302.877     -321.752       18.874   651.9
0.5800         -302.917     -321.895       18.978   655.4
0.5810         -302.959     -322.039       19.079   659.0
0.5820         -303.003     -322.183       19.180   662.4
0.5830         -303.049     -322.327       19.278   665.8
0.5840         -303.097     -322.471       19.375   669.1
0.5850         -303.147     -322.616       19.469   672.4
0.5860         -303.199     -322.761       19.562   675.6
0.5870         -303.254     -322.907       19.653   678.8
0.5880         -303.311     -323.053       19.742   681.8
0.5890         -303.371     -323.200       19.829   684.8
0.5900         -303.434     -323.347       19.913   687.7
0.5910         -303.500     -323.495       19.995   690.6
0.5920         -303.569     -323.644       20.075   693.3
0.5930         -303.641     -323.793       20.152   696.0
0.5940         -303.716     -323.943       20.227   698.6
0.5950         -303.794     -324.093       20.299   701.1
0.5960         -303.875     -324.244       20.369   703.5
0.5970         -303.960     -324.395       20.436   705.8
0.5980         -304.048     -324.548       20.499   708.0
0.5990         -304.140     -324.701       20.560   710.1
0.6000         -304.236     -324.854       20.618   712.1
0.6010         -304.335     -325.008       20.673   714.0
0.6020         -304.438     -325.163       20.725   715.8
0.6030         -304.544     -325.318       20.774   717.5
0.6040         -304.655     -325.474       20.819   719.0
0.6050         -304.769     -325.631       20.861   720.5
0.6060         -304.888     -325.788       20.900   721.8
